#,Name,Team,ESPN,Y!,$,$/G,G,PA,AB,R,H,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,R%,RazzID
365,Andy Pages,LAD,OF,OF,-35.1,-38.8,6,28,26,1,5,0,1,0,0,2,6,0.192,0.250,0.269,0.519,100,681624
366,Rafael Marchan,PHI,C,C,-35.3,-63.5,2,4,4,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0,665561
367,Jake Rogers,DET,C,C,-35.3,-63.5,2,4,4,0,0,0,0,0,0,0,2,0.000,0.000,0.000,0.000,0,668670
368,Miguel Vargas,CHW,1B/3B,1B/3B,-35.3,-44.5,6,23,23,1,3,0,0,1,0,0,5,0.130,0.130,0.174,0.304,100,678246
369,Jared Young,NYM,1B,1B,-35.5,-44.8,5,15,15,2,1,0,1,0,0,0,4,0.067,0.067,0.067,0.133,9,676724
370,Andruw Monasterio,BOS,SS,2B/SS/ 3B,-35.6,-46.0,5,12,11,0,2,0,0,0,0,1,5,0.182,0.250,0.182,0.432,0,655316
371,Rob Refsnyder,SEA,OF,OF,-36.2,-50.3,4,10,8,0,1,0,0,0,0,1,2,0.125,0.222,0.125,0.347,0,13770
372,Sandy Leon,ATL,C,C,-36.2,-55.3,3,8,8,0,1,0,0,0,0,0,4,0.125,0.125,0.125,0.250,0,506702
373,Jake Bauers,MIL,1B/OF,1B/OF,-36.2,-46.6,5,18,14,1,2,0,0,0,0,3,3,0.143,0.333,0.143,0.476,100,641343
374,Tyler O’Neill,BAL,OF,OF,-36.2,-63.0,2,8,8,0,1,0,0,0,0,0,3,0.125,0.125,0.250,0.375,1,641933
375,Connor Norby,MIA,1B/3B,1B/3B,-36.4,-46.2,5,16,15,0,3,0,0,0,0,1,8,0.200,0.250,0.267,0.517,3,681393
376,Edgar Quero,CHW,C,C,-36.4,-48.0,4,15,15,0,3,0,0,0,0,0,1,0.200,0.200,0.200,0.400,11,700337
377,Nico Hoerner,CHC,2B,2B/SS,-36.8,-44.6,5,25,24,2,4,0,0,0,0,1,5,0.167,0.200,0.208,0.408,100,663538
378,Nick Fortes,TB,C,C,-36.8,-70.0,2,7,5,0,0,0,0,0,0,1,0,0.000,0.167,0.000,0.167,21,663743
379,MJ Melendez,NYM,OF,OF,-36.8,-49.2,5,15,11,1,1,0,0,0,0,4,7,0.091,0.333,0.091,0.424,0,669004
380,Wenceel Perez,DET,OF,OF,-36.8,-70.0,2,6,5,0,0,0,0,0,0,1,1,0.000,0.167,0.000,0.167,1,672761
381,Ha-Seong Kim,ATL,SS,2B/SS,-36.8,-70.0,2,6,5,0,0,0,0,0,0,1,2,0.000,0.167,0.000,0.167,3,673490
382,Everson Pereira,CHW,OF,OF,-36.8,-59.7,3,6,5,0,0,0,0,0,0,1,2,0.000,0.167,0.000,0.167,1,677592
383,Petey Halpin,CLE,OF,OF,-36.8,-59.3,3,5,5,0,0,0,0,0,0,0,2,0.000,0.000,0.000,0.000,0,690984
384,Chandler Simpson,TB,OF,OF,-36.8,-43.8,5,20,20,0,3,0,2,0,0,0,1,0.150,0.150,0.150,0.300,98,802415
385,Yohendrick Pinango,TOR,OF,OF,-37.0,-50.5,4,15,12,0,2,0,0,0,0,3,2,0.167,0.333,0.333,0.667,14,682818
386,Joey Ortiz,MIL,SS,SS,-37.0,-51.0,4,12,12,0,2,0,0,0,0,0,2,0.167,0.167,0.167,0.333,0,687401
387,Carlos Cortes,ATH,OF,OF,-37.3,-43.0,6,22,21,1,1,0,4,0,0,0,6,0.048,0.091,0.048,0.139,84,666126
388,Ernie Clement,TOR,2B/SS/ 3B,1B/2B/ SS/3B,-37.4,-46.4,5,21,21,2,3,0,0,0,1,0,4,0.143,0.143,0.143,0.286,100,676391
389,Javier Sanoja,MIA,2B/3B/ OF,2B/SS/ 3B/OF,-37.4,-45.3,6,21,21,2,3,0,0,0,0,0,2,0.143,0.143,0.190,0.333,0,691594
390,Charles McAdoo,TOR,3B,3B,-37.6,-59.0,3,9,9,0,1,0,0,0,0,0,1,0.111,0.111,0.111,0.222,0,807727
391,Michael Conforto,CHC,OF,OF,-38.2,-56.8,4,7,6,0,0,0,0,0,0,1,3,0.000,0.143,0.000,0.143,0,16376
392,James Outman,DET,OF,OF,-38.2,-63.0,3,7,6,0,0,0,0,0,0,1,5,0.000,0.143,0.000,0.143,0,681546
393,Colby Thomas,ATH,OF,OF,-38.2,-57.3,4,6,6,0,0,0,0,0,0,0,4,0.000,0.000,0.000,0.000,0,687515
394,Drew Romo,CHW,C,C,-38.2,-76.0,2,6,6,0,0,0,0,0,0,0,4,0.000,0.000,0.000,0.000,0,691011
395,Kahlil Watson,CLE,SS,SS,-38.2,-75.5,2,6,6,0,0,0,0,0,0,0,4,0.000,0.000,0.000,0.000,0,696135
396,Luke Raley,SEA,1B/OF,1B/OF,-39.7,-81.5,2,7,7,0,0,0,0,0,0,0,2,0.000,0.000,0.000,0.000,98,670042
397,J.P. Crawford,SEA,SS,SS,-40.5,-59.5,4,13,11,0,1,0,0,0,0,2,3,0.091,0.231,0.091,0.322,13,15491
398,Jase Bowen,SD,OF,OF,-41.2,-87.0,2,8,8,0,0,0,0,0,0,0,4,0.000,0.000,0.000,0.000,0,687749
399,Tristan Gray,MIN,2B/SS/ 3B,2B/SS/ 3B,-41.4,-55.8,5,15,14,0,1,0,1,0,0,1,5,0.071,0.133,0.071,0.205,0,656484
400,Taylor Ward,BAL,OF,OF,-43.1,-53.2,6,27,26,1,4,0,0,0,0,1,5,0.154,0.185,0.192,0.377,98,621493
401,Jacob Gonzalez,CHW,1B/2B,1B/2B,-43.2,-61.8,5,14,12,1,0,0,0,0,0,1,5,0.000,0.143,0.000,0.143,16,694378
402,Steven Kwan,CLE,OF,OF,-43.3,-60.4,5,15,13,0,1,0,0,0,0,2,3,0.077,0.200,0.077,0.277,72,680757
403,Zach McKinstry,DET,2B/SS/ 3B/OF,2B/SS/ 3B/OF,-44.0,-79.3,3,10,10,0,0,0,0,0,0,0,4,0.000,0.000,0.000,0.000,5,656716
404,Jesus Sanchez,TOR,OF,OF,-44.1,-60.8,5,19,17,0,2,0,0,0,0,2,7,0.118,0.211,0.176,0.387,75,660821
405,Braden Montgomery,CHW,OF,OF,-44.5,-57.3,6,20,20,1,2,0,0,0,0,0,7,0.100,0.100,0.100,0.200,98,695731
406,Nick Madrigal,LAA,3B,3B,-45.4,-83.3,3,13,11,0,0,0,0,0,0,2,1,0.000,0.154,0.000,0.154,0,663611
407,Adley Rutschman,BAL,C,C,-47.5,-75.0,4,16,16,0,1,0,0,0,0,0,4,0.063,0.063,0.063,0.125,100,668939
408,Alejandro Kirk,TOR,C,C,-47.5,-75.0,4,17,16,0,1,0,0,0,0,1,6,0.063,0.118,0.063,0.180,100,672386
