#,Name,Team,ESPN,Y!,$,$/G,G,PA,AB,R,H,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,R%,RazzID
90,Sam Antonacci,CHW,2B/OF,2B/OF,5.7,29.7,6,21,20,4,6,2,2,0,0,1,5,0.300,0.333,0.700,1.033,99,803011
91,Garrett Mitchell,MIL,OF,OF,5.3,29.8,6,20,20,3,6,2,3,0,0,0,7,0.300,0.300,0.600,0.900,68,669003
92,Travis Bazzana,CLE,2B,2B,5.1,33.8,5,21,16,4,5,1,1,1,1,5,2,0.313,0.476,0.625,1.101,99,683953
93,Sterlin Thompson,COL,OF,OF,3.9,54.5,4,13,12,3,4,2,2,0,0,0,4,0.333,0.385,1.000,1.385,0,694514
94,Kevin McGonigle,DET,SS/3B,SS/3B,3.4,39.0,5,22,19,3,6,2,2,0,0,3,2,0.316,0.409,0.684,1.093,100,805808
95,Ian Happ,CHC,OF,OF,3.1,21.2,6,27,26,6,6,1,1,1,0,1,8,0.231,0.259,0.385,0.644,100,664023
96,Caleb Durbin,BOS,3B,2B/3B,2.6,35.8,5,19,18,5,4,2,2,0,0,1,3,0.222,0.263,0.611,0.874,17,702332
97,Pete Alonso,BAL,1B,1B,2.5,25.5,6,25,22,3,6,2,3,0,0,2,8,0.273,0.360,0.591,0.951,100,624413
98,Keibert Ruiz,WSH,C,C,2.5,51.5,4,15,15,3,6,1,2,0,0,0,1,0.400,0.400,0.600,1.000,90,660688
99,Mark Vientos,NYM,1B/3B,1B/3B,2.0,34.4,5,15,13,2,4,1,5,0,0,1,3,0.308,0.333,0.538,0.872,26,668901
100,Rodolfo Duran,SD,C,C,1.9,23.8,6,18,18,3,4,2,4,0,0,0,4,0.222,0.222,0.667,0.889,0,660710
101,Max Muncy,ATH,2B/3B,2B/SS/ 3B,1.8,34.2,5,12,11,2,2,2,5,0,0,0,2,0.182,0.167,0.727,0.894,20,691777
102,Jeff McNeil,ATH,2B/OF,2B/OF,1.7,20.7,6,18,16,4,4,1,4,0,0,2,2,0.250,0.333,0.438,0.771,10,643446
103,Ryan Kreidler,MIN,SS/OF,SS/OF,1.5,29.4,5,10,8,3,3,1,3,0,0,2,2,0.375,0.500,0.875,1.375,0,668952
104,A.J. Ewing,NYM,OF,OF,1.5,23.5,6,23,20,2,6,1,5,0,0,3,4,0.300,0.391,0.600,0.991,99,805999
105,Eugenio Suarez,CIN,3B,3B,1.3,26.2,6,23,23,2,4,2,7,0,0,0,13,0.174,0.174,0.478,0.652,100,12552
106,Masyn Winn,STL,SS,SS,1.1,11.6,7,27,23,5,8,0,2,0,1,3,4,0.348,0.407,0.435,0.842,33,691026
107,Jo Adell,LAA,OF,OF,1.0,13.1,7,32,29,6,9,0,2,0,0,2,5,0.310,0.375,0.414,0.789,100,666176
108,Blaze Alexander,BAL,2B/SS/ 3B/OF,2B/SS/ 3B/OF,0.7,24.6,5,18,17,2,8,0,0,1,1,1,2,0.471,0.500,0.529,1.029,12,677942
109,Jung Hoo Lee,SF,OF,OF,0.4,27.0,5,20,19,3,5,1,2,1,0,0,1,0.263,0.250,0.474,0.724,99,808982
110,Jared Triolo,PIT,1B/SS/ 3B,1B/2B/ SS/3B,0.3,19.8,5,21,18,3,5,0,1,2,0,2,6,0.278,0.381,0.333,0.714,1,669707
