Batter,Icon,Pitcher,Game,HRF,qAB,HH%,AB,H,2B/3B,HR,BB,BA,OBP,OPS
---,,C. Barnes,LAN @ ATH,1.5,no matchup history,,,,,,,,,
---,,J. Ginn,LAN @ ATH,1.5,no matchup history,,,,,,,,,
"M. Winn, SS (R)",v^,R. Lopez (R),SLN @ ATL,1.6,33%,0%,2,0,0,0,1,.000,.333,.333
"I. Herrera, DH (R)",v^,R. Lopez (R),SLN @ ATL,1.6,0%,0%,1,0,0,0,0,.000,.000,.000
"A. Burleson, OF (L)",v^,R. Lopez (R),SLN @ ATL,1.6,0%,0%,2,0,0,0,0,.000,.000,.000
"M. Yastrzemski, OF (L)",v^,M. McGreevy (R),SLN @ ATL,1.6,0%,0%,2,0,0,0,0,.000,.000,.000
"M. Vargas, 3B (R)",^>,D. Kremer (R),CHA @ BAL,1.5,33%,0%,5,0,0,0,1,.000,.167,.167
---,,N. Schultz,CHA @ BAL,1.5,no matchup history,,,,,,,,,
"C. Montgomery, SS (L)",>>,D. Kremer,CHA @ BAL,1.5,---,,2,0,0,0,1,.000,.333,.333
---,,A. Alvarez,WAS @ BOS,1.6,no matchup history,,,,,,,,,
---,,P. Tolle,WAS @ BOS,1.6,no matchup history,,,,,,,,,
"M. Shaw, OF (R)",>^,W. Buehler (R),SDN @ CHN,1.8,---,,2,0,0,0,0,.000,.000,.000
"F. Tatis, OF (R)",^v,C. Rea (R),SDN @ CHN,1.8,0%,0%,2,0,0,0,0,.000,.333,.333
"F. Fermin, C (R)",vv,C. Rea (R),SDN @ CHN,1.8,0%,0%,3,0,0,0,0,.000,.000,.000
"J. Merrill, OF (L)",vv,C. Rea (R),SDN @ CHN,1.8,50%,0%,3,0,0,0,0,.000,.000,.000
"A. Hedges, C (R)",v>,M. Gore (L),TEX @ CLE,1.4,100%,50%,1,0,0,0,1,.000,.500,.500
"K. Higashioka, C (R)",vv,J. Cantillo (L),TEX @ CLE,1.4,0%,0%,2,0,0,0,0,.000,.000,.000
"M. Moniak, OF (L)",v^,M. Meyer (R),MIA @ COL,1.2,50%,0%,1,0,0,0,1,.000,.500,.500
"J. McCarthy, OF (L)",^^,M. Meyer,MIA @ COL,1.2,---,,3,0,0,0,0,.000,.000,.000
"C. Smith, OF (R)",^v,T. Bradley (R),MIN @ HOU,1.6,0%,0%,5,0,0,0,0,.000,.000,.000
---,,T. Imai,MIN @ HOU,1.6,no matchup history,,,,,,,,,
"J. Loperfido, OF (L)",vv,T. Bradley (R),MIN @ HOU,1.6,50%,0%,2,0,0,0,0,.000,.000,.000
"S. Marte, OF (R)",>v,S. McClanahan,TBA @ KCA,1.7,---,,3,0,0,0,0,.000,.000,.000
"T. Walls, SS (B)",vv,S. Lugo,TBA @ KCA,1.7,---,,1,0,0,0,1,.000,.500,.500
"C. Jensen, C (L)",^v,S. McClanahan,TBA @ KCA,1.7,---,,2,0,0,0,1,.000,.333,.333
"L. Thomas, OF (R)",vv,S. McClanahan (L),TBA @ KCA,1.7,67%,0%,4,0,0,0,2,.000,.333,.333
"N. Fortes, C (R)",v^,S. Lugo (R),TBA @ KCA,1.7,33%,0%,6,0,0,0,0,.000,.000,.000
"H. Feduccia, C (L)",vv,S. Lugo,TBA @ KCA,1.7,---,,2,0,0,0,0,.000,.000,.000
"D. Myers, OF (R)",v>,S. Drohan (L),CIN @ MIL,1.4,---,,1,0,0,0,1,.000,.500,.500
"N. Marte, 3B (R)",v^,S. Drohan,CIN @ MIL,1.4,---,,2,0,0,0,0,.000,.000,.000
"M. McLain, 2B (R)",v^,S. Drohan (L),CIN @ MIL,1.4,---,,2,0,0,0,0,.000,.000,.000
"S. Frelick, OF (L)",^^,A. Abbott (L),CIN @ MIL,1.4,0%,0%,2,0,0,0,0,.000,.000,.000
"T. Stephenson, C (R)",^^,S. Drohan,CIN @ MIL,1.4,---,,1,0,0,0,1,.000,.500,.500
"B. Rice, 1B (L)",v^,T. Melton (R),DET @ NYA,1.6,0%,0%,1,0,0,0,0,.000,.000,.000
"C. Keith, 2B (L)",vv,W. Warren (R),DET @ NYA,1.6,0%,0%,3,0,0,0,0,.000,.000,.000
"R. Greene, OF (L)",^v,W. Warren (R),DET @ NYA,1.6,0%,0%,2,0,0,0,0,.000,.000,.000
"D. Dingler, C (R)",>v,W. Warren (R),DET @ NYA,1.6,0%,0%,2,0,0,0,0,.000,.000,.000
"J. Chisholm, 2B (L)",v^,T. Melton (R),DET @ NYA,1.6,0%,0%,1,0,0,0,0,.000,.000,.000
"K. Carpenter, OF (L)",^v,W. Warren (R),DET @ NYA,1.6,0%,0%,3,0,0,0,0,.000,.000,.000
"S. Torkelson, 1B (R)",^v,W. Warren (R),DET @ NYA,1.6,50%,0%,1,0,0,0,1,.000,.500,.500
"B. Stott, 2B (L)",>^,P. Skenes (R),PIT @ PHI,1.8,14%,0%,9,0,0,0,0,.000,.000,.000
"J. Mangum, OF (B)",v^,Z. Wheeler,PIT @ PHI,1.8,---,,2,0,0,0,1,.000,.333,.333
"R. O'Hearn, 1B (L)",^^,Z. Wheeler (R),PIT @ PHI,1.8,60%,20%,3,0,0,0,2,.000,.400,.400
"K. Schwarber, DH (L)",^^,P. Skenes (R),PIT @ PHI,1.8,0%,0%,9,0,0,0,0,.000,.000,.000
"N. Lukes, OF (L)",^v,F. Peralta (R),NYN @ TOR,n/a,0%,0%,2,0,0,0,0,.000,.000,.000
"A. Gimenez, 2B (L)",^v,F. Peralta (R),NYN @ TOR,n/a,17%,0%,5,0,0,0,0,.000,.167,.167
"V. Guerrero, 1B (R)",vv,F. Peralta (R),NYN @ TOR,n/a,17%,17%,6,0,0,0,0,.000,.000,.000
---,,B. Fisher,NYN @ TOR,n/a,no matchup history,,,,,,,,,
